m2,pokoje,rok,cena
42,2,2018,780000
64,2,2018,910000
42,2,2018,699000
50,2,1991,669000
101,4,2024,2497775
51,2,2014,749000
32,2,2020,902000
43,3,2022,813834
32,2,2022,686983
49,2,2021,1104701
37,2,2022,754210
44,2,2014,809000
48,2,2019,690000
48,2,2010,690000
43,2,2011,659000
34,2,2022,916635
55,2,2000,680000
53,2,2011,649000
42,2,1997,750000
44,2,2018,695000
48,3,2007,760000
64,2,1998,960000
46,2,2007,729000
28,1,2020,540000
61,3,2009,1075000
74,4,2022,946281
54,2,2002,725000
49,2,2003,749000
48,2,2019,715000
32,2,2016,531000
33,2,2016,545000
43,2,1996,649000
50,2,2016,890000
59,3,2011,750000
42,2,2007,480000
50,3,2010,699000
30,1,1997,515000
47,2,2009,519000
63,3,2003,799000
69,3,2011,799000
82,4,2022,1050000
33,2,2022,799000
126,5,2022,1877400
60,3,2014,880000
64,3,1992,740000
43,2,2018,739000
41,2,2012,670000
49,2,2018,767000
140,6,1992,1550000
48,3,2019,850000
26,1,2023,550000
36,2,2023,535000
34,2,2002,610000
57,3,2012,829000
52,2,2005,936000
46,2,2012,779000
132,5,2007,1950000
71,4,2021,1072650
47,2,2021,820000
34,1,2004,499000
53,3,2014,949000
45,2,2000,629000
54,2,2002,680000
31,1,2011,739000
60,2,2017,795000
41,2,2003,563000
34,1,2014,752500
71,3,1995,1050000
62,3,2019,980000
58,2,2004,699000
61,3,2004,780000
36,2,2003,530000
45,2,2014,688950
36,2,2004,530000
74,3,2023,1180000
48,2,2011,682000
45,2,2014,605000
26,1,2017,660000
61,3,2009,890000
62,3,2010,915000
120,6,2005,1520000
85,3,2010,1188000
61,3,2008,780000
62,3,2023,760000
28,1,2000,379000
65,2,2000,960000
39,2,2015,585000
41,2,2015,935000
54,3,2017,980000
141,6,1991,1550000
63,3,2023,1130000
48,3,2015,1050000
51,2,2016,835000
44,2,2018,785000
40,2,2003,540000
55,2,2002,737000
75,3,2017,1200000
33,2,2016,531000
42,2,2017,539000
41,2,2008,679000
41,2,2018,710000
45,2,2016,775000
61,3,2019,977000
47,2,2003,658000
41,2,2024,562916
46,3,2016,790000
26,1,2017,639000
42,2,2011,800000
53,3,2024,836316
40,2,2006,690000
120,4,2000,1300000
40,2,2023,699000
37,2,1998,549000
56,3,2020,894375
45,2,2012,680000
